Warner Bros Entertainment,To,Horror,18,5-9-2017,36,5,129
20th Century Studios,Avatar 2: Istota Wody,Fantasy/SF,12,5-7-2023,45,4,185
Universal Pictures,Super Mario Bros Film,Animowany,8,24-8-2023,45,4,89
Universal Pictures,Szybcy i wsciekli 10,Sensacyjny,16,24-8-2023,50,4,135
20th Century Studios,Titanic,Dramat,12,3-3-2021,28,5,187
MGM Home Entertainment,Rain Man,Dramat,12,3-3-2021,27,5,134
Warner Bros Entertainment,Swiat wedlug Garpsa,Dramat,12,8-2-2017,31,4,131
Warner Bros Entertainment,Mechaniczna pomarancza,Fantasy/SF,16,19-9-2018,23,5,131
Warner Bros Entertainment,Buntownik bez powodu,Dramat,12,20-9-2016,25,6,106
Walt Disney,Zakochana zlosnica,Komedia,12,9-10-2015,18,5,97
Kino Swiat,Jak rozmawiac z psem,Familijny,7,27-1-2022,7,30,4
Telewizja Polska S.A.,Ania,Kino polskie,12,21-12-2022,30,4,86
Kino Swiat,Na chwile na zawsze,Kino polskie,12,27-9-2022,30,5,100
Universal Pictures,Bilet do raju,Komedia,12,19-1-2023,43,3,100
